PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
7.0,7.0,3.0,2.0,100.0,91.0,-2.3,1020.3,-20.7,0.0,3.1
4.0,4.0,3.0,0.0,100.0,92.0,-2.7,1020.8,-20.5,0.0,1.5
4.0,4.0,0.0,0.0,100.0,91.0,-3.2,1020.6,-21.4,0.0,1.8
3.0,3.0,3.0,2.0,0.0,0.0,-3.3,1021.3,-23.7,0.0,2.4
3.0,3.0,7.0,0.0,300.0,86.0,-4.1,1022.1,-22.7,0.0,2.2
4.0,4.0,3.0,3.0,200.0,85.0,-4.2,1022.3,-24.5,0.0,4.3
3.0,6.0,33.0,7.0,300.0,82.0,-5.9,1023.1,-21.9,0.0,0.6
3.0,10.0,13.0,13.0,400.0,71.0,-2.7,1024.3,-23.2,0.0,3.4
3.0,13.0,34.0,38.0,800.0,45.0,-1.6,1025.2,-23.5,0.0,4.6
17.0,36.0,50.0,28.0,700.0,60.0,-1.1,1025.4,-23.8,0.0,4.9
19.0,32.0,5.0,3.0,300.0,85.0,1.0,1025.1,-23.6,0.0,2.7
10.0,11.0,3.0,0.0,300.0,87.0,2.4,1024.5,-22.5,0.0,3.9
3.0,6.0,5.0,3.0,300.0,86.0,3.9,1023.8,-21.3,0.0,1.9
3.0,6.0,7.0,3.0,300.0,87.0,4.7,1022.8,-22.4,0.0,3.3
3.0,6.0,9.0,6.0,300.0,87.0,5.7,1022.3,-22.6,0.0,1.9
3.0,3.0,4.0,3.0,200.0,89.0,5.4,1022.7,-22.8,0.0,3.1
3.0,6.0,16.0,6.0,300.0,86.0,4.6,1022.7,-22.5,0.0,3.2
4.0,10.0,13.0,12.0,300.0,80.0,3.4,1023.2,-21.7,0.0,2.8
4.0,12.0,10.0,15.0,300.0,76.0,1.2,1024.4,-21.2,0.0,1.4
9.0,18.0,24.0,22.0,500.0,68.0,0.8,1025.1,-20.9,0.0,2.3
20.0,24.0,22.0,24.0,500.0,65.0,0.7,1026.2,-20.4,0.0,4.4
23.0,29.0,27.0,16.0,400.0,71.0,-0.2,1027.3,-20.0,0.0,3.3
13.0,20.0,23.0,18.0,400.0,68.0,-1.0,1027.9,-19.6,0.0,3.7
13.0,24.0,50.0,23.0,400.0,61.0,-1.1,1027.4,-19.2,0.0,3.7
15.0,21.0,44.0,28.0,500.0,57.0,-1.8,1027.3,-19.3,0.0,4.8
9.0,16.0,28.0,17.0,400.0,67.0,-2.1,1027.9,-19.1,0.0,2.6
11.0,13.0,40.0,16.0,300.0,67.0,-2.2,1027.4,-19.6,0.0,3.9
8.0,15.0,27.0,17.0,400.0,64.0,-2.3,1027.1,-19.3,0.0,2.4
13.0,15.0,47.0,26.0,400.0,56.0,-3.4,1027.2,-18.1,0.0,0.6
15.0,18.0,42.2688,26.4837,0.0,56.1204,-4.2,1026.9,-16.4,0.0,1.4
12.0,17.0,21.0,11.0,400.0,63.0,-4.5,1025.8,-16.4,0.0,1.9
7.0,11.0,11.0,18.0,500.0,45.0,-4.0,1026.6,-14.2,0.0,1.2
14.0,11.0,61.0,44.0,600.0,28.0,-2.6,1026.6,-16.7,0.0,0.8
