PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
3.0,6.0,3.0,8.0,300.0,44.0,-0.9,1025.8,-20.5,0.0,9.3
12.0,12.0,3.0,7.0,300.0,47.0,-1.1,1026.1,-21.3,0.0,9.4
14.0,14.0,0.0,7.0,200.0,22.0,-1.7,1026.2,-23.0,0.0,8.6
12.0,12.0,3.0,5.0,0.0,0.0,-2.1,1027.3,-23.3,0.0,6.6
12.0,12.0,3.0,0.0,200.0,11.0,-2.4,1027.7,-22.9,0.0,4.5
11.0,11.0,3.0,7.0,200.0,45.0,-2.8,1028.2,-22.1,0.0,1.7
12.0,12.0,3.0,9.0,300.0,74.0,-4.0,1029.0,-21.2,0.0,1.6
13.0,13.0,3.0,23.0,300.0,59.0,-2.4,1030.5,-21.3,0.0,1.7
8.0,8.0,3.0,19.0,400.0,66.0,-1.0,1031.2,-21.8,0.0,2.7
3.0,6.0,3.0,21.0,400.0,60.0,0.0,1031.3,-22.9,0.0,0.8
3.0,6.0,3.0,22.0,400.0,64.0,0.7,1031.3,-21.6,0.0,2.5
6.0,6.0,3.0,16.0,300.0,67.0,1.7,1030.9,-21.5,0.0,1.4
8.0,8.0,3.0,12.0,300.0,64.0,2.8,1030.1,-20.6,0.0,2.1
5.0,5.0,3.0,9.0,300.0,74.0,3.7,1028.9,-20.6,0.0,2.1
5.0,5.0,3.0,10.0,400.0,73.0,4.6,1028.6,-20.7,0.0,3.4
8.0,8.0,3.0,11.0,400.0,75.0,5.2,1028.5,-20.2,0.0,2.6
7.0,7.0,3.0,12.0,400.0,73.0,4.9,1028.6,-20.4,0.0,1.0
10.0,10.0,3.0,12.0,400.0,78.0,4.1,1029.0,-19.5,0.0,2.0
3.0,6.0,3.0,18.0,400.0,76.0,2.3,1030.1,-17.3,0.0,0.6
3.0,8.0,3.0,21.0,400.0,71.0,1.6,1030.9,-19.0,0.0,1.9
13.0,13.0,3.0,17.0,500.0,70.0,0.6,1031.9,-18.7,0.0,2.0
9.0,14.0,3.0,14.0,500.0,72.0,0.2,1032.8,-18.5,0.0,2.5
5.0,11.0,3.0,11.0,400.0,74.0,-0.3,1033.4,-18.5,0.0,2.2
9.0,11.0,3.0,8.0,400.0,78.0,-0.7,1033.1,-17.9,0.0,2.8
5.0,7.0,3.0,8.0,300.0,78.0,-1.0,1033.0,-18.1,0.0,3.2
3.0,6.0,3.0,8.0,300.0,76.0,-1.5,1033.7,-18.1,0.0,1.0
4.0,4.0,3.0,8.0,300.0,77.0,-1.6,1033.3,-18.2,0.0,2.1
8.0,8.0,3.0,8.0,300.0,77.0,-2.0,1033.0,-18.1,0.0,1.4
6.0,6.0,3.0,8.0,300.0,78.0,-2.5,1033.0,-17.7,0.0,1.7
6.0,6.0,9.0,31.0,500.0,52.0,-3.1,1032.6,-17.1,0.0,0.7
4.0,6.0,13.0,33.0,700.0,45.0,-2.8,1031.8,-17.2,0.0,0.9
13.0,0.0,12.0,31.0,700.0,49.0,-2.7,1032.3,-16.4,0.0,1.3
12.0,12.0,8.0,31.0,500.0,48.0,-1.5,1032.3,-16.5,0.0,1.6
12.0,10.0,20.0,54.0,800.0,25.0,-0.4,1032.2,-16.7,0.0,1.7
26.0,35.0,18.0,39.0,700.0,42.0,0.7,1031.8,-17.1,0.0,0.5
18.0,32.0,15.0,26.0,600.0,56.0,1.6,1031.2,-16.8,0.0,1.6
19.0,22.0,17.0,45.0,600.0,37.0,2.1,1030.1,-16.9,0.0,1.1
12.0,14.0,15.0,60.0,800.0,34.0,2.8,1028.5,-16.3,0.0,1.0
18.0,23.0,21.0,67.0,1000.0,27.0,3.1,1027.7,-16.6,0.0,1.2
32.0,34.0,22.0,66.0,1100.0,30.0,3.2,1026.9,-16.0,0.0,0.5
43.0,47.0,24.0,68.0,1100.0,30.0,3.1,1026.4,-15.6,0.0,1.8
49.0,55.0,23.0,61.0,1000.0,37.0,2.2,1026.1,-15.4,0.0,1.4
38.0,51.0,23.0,61.0,1000.0,34.0,1.7,1026.1,-14.9,0.0,1.5
52.0,54.0,26.0,76.0,1200.0,18.0,1.1,1025.7,-14.6,0.0,1.3
69.0,82.0,35.0,87.0,1700.0,8.0,0.7,1025.6,-14.5,0.0,1.4
96.0,104.0,53.0,90.0,2000.0,4.0,-0.1,1025.3,-13.8,0.0,0.8
108.0,123.0,46.0,88.0,2000.0,4.0,-0.2,1024.7,-13.2,0.0,1.0
130.0,136.0,70.0,88.0,2600.0,4.0,-0.9,1023.9,-14.8,0.0,1.6
125.0,153.0,45.0,85.0,2600.0,4.0,-1.2,1022.9,-13.4,0.0,1.4
96.0,118.0,40.0,81.0,1899.0,3.0,-2.1,1021.9,-12.2,0.0,1.0
84.0,92.0,42.0,84.0,2000.0,4.0,-3.8,1020.7,-11.1,0.0,0.2
80.0,90.0,25.0,85.0,2000.0,4.0,-4.6,1019.9,-10.2,0.0,0.1
81.0,92.0,11.0,82.0,3000.0,5.0,-3.8,1019.5,-10.9,0.0,1.1
120.0,106.0,10.0,76.0,3000.0,4.0,-5.3,1019.0,-9.9,0.0,1.1
88.0,108.0,10.0,73.0,2500.0,3.0,-4.1,1018.7,-11.4,0.0,0.8
92.0,97.0,8.0,67.0,3500.0,3.0,-2.6,1019.4,-11.9,0.0,1.4
113.0,122.0,23.0,65.0,2700.0,3.0,-0.1,1018.6,-12.7,0.0,2.1
99.0,114.0,67.0,62.0,2200.0,6.0,2.4,1018.4,-13.0,0.0,1.0
88.0,95.0,66.0,61.0,1800.0,15.0,4.8,1017.5,-12.7,0.0,0.9
85.0,92.0,61.0,65.0,1700.0,26.0,9.3,1016.2,-12.6,0.0,1.4
95.0,106.0,60.0,73.0,1700.0,28.0,11.8,1014.9,-13.3,0.0,2.2
109.0,123.0,58.0,84.0,1600.0,25.0,14.5,1013.6,-12.7,0.0,4.7
99.0,114.0,48.0,78.0,1399.0,33.0,15.9,1013.0,-12.5,0.0,3.4
70.0,107.0,28.0,64.0,1100.0,44.0,15.6,1013.0,-12.8,0.0,3.1
45.0,96.0,23.0,42.0,900.0,64.0,14.9,1013.0,-12.4,0.0,1.6
41.0,73.0,15.0,34.0,800.0,72.0,13.0,1013.4,-13.1,0.0,1.1
